category_id,option_id,option_cn_name,option_en_name
1,1,褶饰,ruched
1,2,交叉前线,cross front
1,3,回击,corss back
1,4,挖空,hollow out
1,5,拉绳,drewstring
1,6,一条线,a line
1,7,狭缝,slit
1,8,打褶的,pleated
1,9,不规律的,irregular
1,10,拼凑而成,patchwork
1,11,离肩,off shoulder
1,12,缝,stitch
2,1,纯粹的,sheer
2,2,网,mesh
2,3,针织的,knitted
2,4,天鹅绒,velvet
2,5,缎,satin
2,6,灯心绒,corduroy
2,7,有质感的,textured
2,8,蓬松的,fluffy
2,9,牛仔布,denim
2,10,可以,pu
2,11,金属的,metallic
2,12,薄纱,chiffon
2,13,罗纹,ribbed
2,14,看穿,see through
3,1,扎染,tie dye
3,2,刺绣,embroidery
4,1,坚硬的,solid
4,2,格子,plaid
4,3,打印,print
4,4,串珠,beaded
4,5,xxx 模式,xxx pattern
4,6,波尔卡开,polka dot
4,7,有条纹的,striped
4,8,坡度,gradient
4,9,波纹,ripple
4,10,对比,contrast
4,11,抽象的,abstract
5,1,长袖,long sleeve
5,2,短袖,short sleeve
5,3,无袖的,sleeveless
5,4,清真寺,cami
5,5,意大利面条表带,spaghetti strap
6,1,吊带裤,halter
6,2,缺口脖子,notch neck
6,3,周转领,turnover collar
6,4,v 领,v neck
6,5,方领,square neck
6,6,v 领,v neck
6,7,围脖,cowl neck
6,8,心颈,heart neck
6,9,圆领,crewneck
6,10,高领,high neck
6,11,低胸,low cut
6,12,龟,turtle
7,1,串珠,beaded
7,2,拉链拉上,zip-up
7,3,花边,lace up
7,4,褶边,ruffle
7,5,蝴蝶结,bowknot
7,6,手套,gloves
7,7,下摆蕾丝,hem lace
7,8,xxx申请,xxx applique
7,9,羽毛,feather
7,10,金属链,metal chain
7,11,按钮,button
7,12,串珠,beaded
7,13,o 环,o ring
7,14,金属标签,metal tag
8,1,软垫,padded
8,2,紧身胸衣,corset
8,3,紧身胸衣,bustier
8,4,文胸,bralette
9,1,最佳,top
9,2,作物顶部,crop top
9,3,管顶,tube top
9,4,吊带背心,cami top
10,1,裙子,dress
10,2,抹胸连衣裙,tube dress
10,3,吊带连衣裙,cami dress
10,4,迷你裙,mini dress
10,5,中长连衣裙,midi dress
10,6,长连衣裙,maxi dress
11,1,裤子,pants
11,2,牛仔裤,jeans
12,1,游泳衣,swimwear
13,1,连身衣,jumsuit
14,1,休息,romper
15,1,紧身衣裤,bodysuit
